,number,q_string
0,1,"i)
a

If sinx° = a, which of the following must be true for
all values of x ?

A) cosx®°=a

B) sin(90°-x°) =a
C) cos(90°-x°) =a
D) sin (x?)° =a?
"
1,2,"h(x) = —16x? + 100x + 10

The quadratic function above models the height
above the ground Af, in feet, of a projectile x seconds
after it had been launched vertically. If y = h(x) is
graphed in the xy-plane, which of the following
represents the real-life meaning of the positive
x-intercept of the graph?

A) The initial height of the projectile

B) The maximum height of the projectile

C) The time at which the projectile reaches its
maximum height

D) The time at which the projectile hits the ground
"
2,3,"N

In the xy-plane, the graph of the polynomial
function f crosses the x-axis at exactly two points,
(a,0) and (b,0), where a and b are both positive.
Which of the following could define f ?

A) f(x) = (x-a)(x-b)
B) f(x) = (x+a)(x+b)
C) f(x) = (x-a)(x+b)
D) f(x) = x(x-a)(x-b)
"
3,4,"If y= 3x7 + 6x +2 is graphed in the xy-plane, which
of the following characteristics of the graph is
displayed as a constant or coefficient in the equation?
A) y-coordinate of the vertex

B) x-intercept(s)

C) y-intercept

D) x-intercept of the line of symmetry
"
4,5,"Minimum Wage

eS

CRN WRU AN ©

c+.

~ xX

Minimum wage (dollars per hour)

10 20 30 40 50 60 70 80
Years since 1940

The scatterplot above shows the federal-mandated

minimum wage every 10 years between 1940 and

2010. A line of best fit is shown, and its equation is

y = 0.096x — 0.488. What does the line of best fit

predict about the increase in the minimum wage over

the 70-year period?

A) Each year between 1940 and 2010, the average
increase in minimum wage was 0.096 dollars.
B) Each year between 1940 and 2010, the average
increase in minimum wage was 0.49 dollars.
C) Every 10 years between 1940 and 2010, the
average increase in minimum wage was
0.096 dollars.
D) Every 10 years between 1940 and 2010, the
average increase in minimum wage was
0.488 dollars.

"
5,6,"Ice Cream Sales

500 +5 4

Sales (dollars)

10 12 14 16 18 20 22 24 26

The scatterplot above

Temperature (°C)

shows a company’s ice cream

sales d, in dollars, and the high temperature t, in
degrees Celsius (°C), on 12 different days. A line of
best fit for the data is also shown. Which of the

following could be an

A) d= 0.03t + 402
B) d= 10t+ 402
C) d= 33t + 300
D) d= 33t+84

equation of the line of best fit?
"
6,7,"eS

=X
O| (4, 0) (20, 0)

In the xy-plane above, the circle has center (h,k) and
radius 10. What is the value of k ?

"
7,8,"In the xy-plane, line / has a y-intercept of —13 and is
2
perpendicular to the line with equation y = 4% If

the point (10, b) is on line /, what is the value of b ?
"
8,9,"Blood type
Rhesus factor A B AB oO
+ 33 9 3 37
- 7 2 1 x

Human blood can be classified into four common
blood types—A, B, AB, and O. It is also characterized
by the presence (+) or absence (—) of the rhesus
factor. The table above shows the distribution of
blood type and rhesus factor for a group of people. If
one of these people who is rhesus negative (—) is
chosen at random, the probability that the person has

blood type B is ; - What is the value of x ?
"
9,10,"Number of Goals Scored by
a Soccer Team in 29 Games

.
o

Number of games
CrPNWHUDN OO

0 1 2 3 4 5 6 7
Number of goals scored

Based on the graph above, in how many of the games
played did the soccer team score goals equal to the
median number of goals for the 29 games?

"
10,11,"w
a

Gisela would owe $15,500 in taxes each year if she
were not eligible for any tax deductions. This year,
Gisela is eligible for tax deductions that reduce the
amount of taxes she owes by $2,325.00. If these tax
deductions reduce the taxes Gisela owes this year
by d%, what is the value of d ?
"
11,12,"3 1 Db
oye lys
4 2”

ax — by =9

The system of equations above has no solutions. If a

a
and b are constants, what is the value of b 2

"
12,13,"w

Based on the information given in the table, how
much greater, in millions, was the median number of
international tourist arrivals to the top nine tourist
destinations in 2013 than the median number in
2012, to the nearest tenth of a million?

"
13,14,"w

The number of international tourist arrivals in Russia
in 2012 was 13.5% greater than in 2011. The number
of international tourist arrivals in Russia was

k million more in 2012 than in 2011. What is the
value of k to the nearest integer?

"
